Race,Age Category,Gender,BMI range,Dietary Supplements
Asian,<16,Male,Underweight,"Soybeans, Tteokbokki, Kung Pao Chicken"
Asian,<16,Male,Normal,"Bulgogi, Sushi, Meatballs"
Asian,<16,Male,Overweight,"Ma-Po Tofu, Passembur, Beef Broccoli"
Asian,<16,Female,Underweight,"Bulgogi, Sushi, Meatballs"
Asian,<16,Female,Normal,"Meatballs, Curry Mee, Sushi"
Asian,<16,Female,Overweight,"Soybeans, Tteokbokki, Kung Pao Chicken"
Asian,16-30,Male,Underweight,"Galbitang, Beef Broccoli, Nasi Lemak"
Asian,16-30,Male,Normal,"Ma-Po Tofu, Passembur, Beef Broccoli"
Asian,16-30,Male,Overweight,"Bulgogi, Sushi, Meatballs"
Asian,16-30,Female,Underweight,"Meatballs, Curry Mee, Sushi"
Asian,16-30,Female,Normal,"Soybeans, Tteokbokki, Kung Pao Chicken"
Asian,16-30,Female,Overweight,"Ma-Po Tofu, Passembur, Beef Broccoli"
Asian,30-60,Male,Underweight,"Ma-Po Tofu, Passembur, Beef Broccoli"
Asian,30-60,Male,Normal,"Bulgogi, Sushi, Meatballs"
Asian,30-60,Male,Overweight,"Galbitang, Beef Broccoli, Nasi Lemak"
Asian,30-60,Female,Underweight,"Shrimps, Colored Veggies, Sushi"
Asian,30-60,Female,Normal,"Meatballs, Curry Mee, Sushi"
Asian,30-60,Female,Overweight,"Ma-Po Tofu, Passembur, Beef Broccoli"
Asian,>60,Male,Underweight,"Meatballs, Curry Mee, Sushi"
Asian,>60,Male,Normal,"Shrimps, Colored Veggies, Sushi"
Asian,>60,Male,Overweight,"Galbitang, Beef Broccoli, Nasi Lemak"
Asian,>60,Female,Underweight,"Ma-Po Tofu, Passembur, Beef Broccoli"
Asian,>60,Female,Normal,"Meatballs, Curry Mee, Sushi"
Asian,>60,Female,Overweight,"Galbitang, Beef Broccoli, Nasi Lemak"
Indian,<16,Male,Underweight,"Chikkis, Dairy Products, Parathas"
Indian,<16,Male,Normal,"Dry Fruit Laddoo, Fruit Juices"
Indian,<16,Male,Overweight,"Brown Rice, Rainbow Colored Veggies"
Indian,<16,Female,Underweight,"Parathas,  Potatoes, Moong Dal Chilla"
Indian,<16,Female,Normal,"Trail Mix, Soya Milk"
Indian,<16,Female,Overweight,"Brown Rice, Rainbow Colored Veggies, Fresh fruit juice"
Indian,16-30,Male,Underweight,"Potatoes, Dairy Products, Parathas"
Indian,16-30,Male,Normal,"Dry Fruit Laddoo, Fruit Juices"
Indian,16-30,Male,Overweight,"Brown Rice, Rainbow Colored Veggies"
Indian,16-30,Female,Underweight,"Paneer parathas, Chikkis, Tikki"
Indian,16-30,Female,Normal,"Trail Mix, Soya Milk, Avocado"
Indian,16-30,Female,Overweight,"Brown Rice, Rainbow Colored Veggies, Idly"
Indian,30-60,Male,Underweight,"Potatoes, Chicken, Mutton keema"
Indian,30-60,Male,Normal,"Dry Fruit Laddoo, Fruit Juices"
Indian,30-60,Male,Overweight,"Brown Rice, Rainbow Colored Veggies"
Indian,30-60,Female,Underweight,"Sweet Potatoes, Chicken, Salmon"
Indian,30-60,Female,Normal,"Brown Rice, Rainbow Colored Veggies, Trail Mix"
Indian,30-60,Female,Overweight,"Moong Dal Chilla, Fresh Fruits, Legumes"
Indian,>60,Male,Underweight,"Paneer parathas, Chikkis, Tikki"
Indian,>60,Male,Normal,"Dry Fruit Laddoo, Fruit Juices"
Indian,>60,Male,Overweight,"Brown Rice, Rainbow Colored Veggies"
Indian,>60,Female,Underweight,"Rice, colored veggies"
Indian,>60,Female,Normal,"Poha, Dosa"
Indian,>60,Female,Overweight,"Dalia, Khichdi"
